JDTDB,Calendar Date (TDB),delta-T,X,Y,Z,VX,VY,VZ,Calendar Date (UTC)
2461137.367337963, A.D. 2026-Apr-06 20:48:58.0000,69.185632,-143904575.1154039,-40536010.81974037,-17592444.08173444,10.04198264940091,-25.43433758150695,-11.89537047713588,2026-04-06T20:47:48.814386
2461137.368032407, A.D. 2026-Apr-06 20:49:58.0000,69.185632,-143903971.8824489,-40537536.81051236,-17593155.3508558,10.06519607276894,-25.43231476652974,-11.81335021753603,2026-04-06T20:48:48.814343
2461137.368726852, A.D. 2026-Apr-06 20:50:58.0000,69.185632,-143903367.3460743,-40539062.77487104,-17593861.67556467,10.08541948485241,-25.43345095515988,-11.73059113210006,2026-04-06T20:49:48.814379
2461137.369421296, A.D. 2026-Apr-06 20:51:58.0000,69.185632,-143902761.6870705,-40540588.90204715,-17594563.01797638,10.10260849306904,-25.43773512556999,-11.64730765364691,2026-04-06T20:50:48.814335
2461137.370115741, A.D. 2026-Apr-06 20:52:58.0000,69.185632,-143902155.0886329,-40542115.3804767,-17595259.35294018,10.11672653191773,-25.44515309702731,-11.56371027735971,2026-04-06T20:51:48.814412
2461137.370810185, A.D. 2026-Apr-06 20:53:58.0000,69.185632,-143901547.7360373,-40543642.39770225,-17595950.66795577,10.12774039328888,-25.45568844982787,-11.48001122991939,2026-04-06T20:52:48.814369
2461137.371504629, A.D. 2026-Apr-06 20:54:58.0000,69.185632,-143900939.816447,-40545170.14007115,-17596636.96342112,10.1356209170238,-25.46931690574804,-11.39642834237982,2026-04-06T20:53:48.814325
2461137.372199074, A.D. 2026-Apr-06 20:55:58.0000,69.185632,-143900331.5185502,-40546698.79212004,-17597318.25291416,10.14034712012806,-25.48600182247007,-11.31318179995827,2026-04-06T20:54:48.814361
2461137.372893518, A.D. 2026-Apr-06 20:56:58.0000,69.185632,-143899723.0320046,-40548228.53586265,-17597994.5630822,10.14190722796253,-25.50569723674747,-11.23048642221184,2026-04-06T20:55:48.814318
2461137.373587963, A.D. 2026-Apr-06 20:57:58.0000,69.185632,-143899114.5470261,-40549759.55042806,-17598665.93332914,10.14029364527628,-25.528353057517,-11.148553872045,2026-04-06T20:56:48.814394
2461137.374282408, A.D. 2026-Apr-06 20:58:58.0000,69.185632,-143898506.2541269,-40551292.01177623,-17599332.41587107,10.13550558838573,-25.55391307674879,-11.06759997396995,2026-04-06T20:57:48.814431
2461137.374976852, A.D. 2026-Apr-06 20:59:58.0000,69.185632,-143897898.3434682,-40552826.09223893,-17599994.07589006,10.12755600487439,-25.58231264301857,-10.98783935090606,2026-04-06T20:58:48.814387
2461137.375671296, A.D. 2026-Apr-06 21:00:58.0000,69.185632,-143897291.0040651,-40554361.96010048,-17600650.99118128,10.11646869150293,-25.61348240945182,-10.90947711865115,2026-04-06T20:59:48.814344
2461137.376365741, A.D. 2026-Apr-06 21:01:58.0000,69.185632,-143896684.4234374,-40555899.77942435,-17601303.25157413,10.10226802461577,-25.64735116995978,-10.8327104313114,2026-04-06T21:00:48.814380
2461137.377060185, A.D. 2026-Apr-06 21:02:58.0000,69.185632,-143896078.7877711,-40557439.7099201,-17601950.95880998,10.08497520822687,-25.6838437639939,-10.75774222355768,2026-04-06T21:01:48.814377
2461137.37775463, A.D. 2026-Apr-06 21:03:58.0000,69.185632,-143895474.2816979,-40558981.90640216,-17602594.22720987,10.06462392848786,-25.72287027363939,-10.68478747536582,2026-04-06T21:02:48.814413
2461137.378449074, A.D. 2026-Apr-06 21:04:58.0000,69.185632,-143894871.0871666,-40560526.51768029,-17603233.18388063,10.04126927868149,-25.76432189713164,-10.61405243763332,2026-04-06T21:03:48.814369
2461137.379143518, A.D. 2026-Apr-06 21:05:58.0000,69.185632,-143894269.382556,-40562073.6859506,-17603867.96759335,10.01497161116461,-25.80809044636898,-10.54572152243807,2026-04-06T21:04:48.814326
2461137.379837963, A.D. 2026-Apr-06 21:06:58.0000,69.185632,-143893669.3427436,-40563623.54708837,-17604498.72804631,9.985788128327586,-25.85407078642228,-10.47997762535551,2026-04-06T21:05:48.814362
2461137.380532407, A.D. 2026-Apr-06 21:07:58.0000,69.185632,-143893071.1389781,-40565176.23034548,-17605125.62606012,9.953785081463714,-25.90214599223033,-10.41700717939245,2026-04-06T21:06:48.814359
2461137.381226852, A.D. 2026-Apr-06 21:08:58.0000,69.185632,-143892474.938089,-40566731.85761783,-17605748.83339838,9.919042287535866,-25.95218971540616,-10.35698649721694,2026-04-06T21:07:48.814395
2461137.381921296, A.D. 2026-Apr-06 21:09:58.0000,69.185632,-143891880.9019659,-40568290.54322761,-17606368.53204136,9.881643175313247,-26.00407650794204,-10.30008131587918,2026-04-06T21:08:48.814352
2461137.382615741, A.D. 2026-Apr-06 21:10:58.0000,69.185632,-143891289.1874267,-40569852.3939357,-17606984.91381745,9.841674791884438,-26.05767862829685,-10.24645503463459,2026-04-06T21:09:48.814388
2461137.383310185, A.D. 2026-Apr-06 21:11:58.0000,69.185632,-143890699.9457617,-40571417.5086564,-17607598.18031712,9.799234544796713,-26.11286181521472,-10.19626919417636,2026-04-06T21:10:48.814344
2461137.38400463, A.D. 2026-Apr-06 21:12:58.0000,69.185632,-143890113.3221358,-40572985.97794203,-17608208.54272203,9.754429219353987,-26.16948039367731,-10.14968090672812,2026-04-06T21:11:48.814421
2461137.384699074, A.D. 2026-Apr-06 21:13:58.0000,69.185632,-143889529.4550011,-40574557.88325305,-17608816.22119207,9.707375148409973,-26.22737972686424,-10.10683048666694,2026-04-06T21:12:48.814377
2461137.385393518, A.D. 2026-Apr-06 21:14:58.0000,69.185632,-143888948.475727,-40576133.29691611,-17609421.44384343,9.658191054906176,-26.28641037439139,-10.06784560651194,2026-04-06T21:13:48.814334
2461137.386087963, A.D. 2026-Apr-06 21:15:58.0000,69.185632,-143888370.5085023,-40577712.28225693,-17610024.44644254,9.606999016923481,-26.34641905110885,-10.03285424540182,2026-04-06T21:14:48.814370
2461137.386782407, A.D. 2026-Apr-06 21:16:58.0000,69.185632,-143887795.6698,-40579294.89302082,-17610625.47226014,9.553935045870212,-26.40724069371315,-10.00197539097008,2026-04-06T21:15:48.814327
2461137.387476852, A.D. 2026-Apr-06 21:17:58.0000,69.185632,-143887224.0676411,-40580881.17303628,-17611224.77113259,9.499142407055107,-26.46871181689052,-9.975309594525708,2026-04-06T21:16:48.814403
2461137.388171296, A.D. 2026-Apr-06 21:18:58.0000,69.185632,-143886655.8015311,-40582471.15648318,-17611822.5986445,9.442761125645802,-26.53067322829812,-9.952950616610751,2026-04-06T21:17:48.814360
2461137.388865741, A.D. 2026-Apr-06 21:19:58.0000,69.185632,-143886090.9625408,-40584064.86779285,-17612419.21611859,9.384934713393346,-26.59295611232191,-9.934995444972508,2026-04-06T21:18:48.814396
2461137.389560185, A.D. 2026-Apr-06 21:20:58.0000,69.185632,-143885529.6327643,-40585662.3207102,-17613014.89036702,9.325818683815722,-26.65537406889391,-9.92152557430084,2026-04-06T21:19:48.814352
2461137.39025463, A.D. 2026-Apr-06 21:21:58.0000,69.185632,-143884971.884754,-40587263.51774111,-17613609.89221852,9.265574137722716,-26.71774358275036,-9.912594667207312,2026-04-06T21:20:48.814389
2461137.390949074, A.D. 2026-Apr-06 21:22:58.0000,69.185632,-143884417.781344,-40588868.45086598,-17614204.49541646,9.204364764979378,-26.77989566801504,-9.908250650091432,2026-04-06T21:21:48.814386
2461137.391643519, A.D. 2026-Apr-06 21:23:58.0000,69.185632,-143883867.3752743,-40590477.10182807,-17614798.97668723,9.142364266472605,-26.84165388490162,-9.908542665580715,2026-04-06T21:22:48.814422
2461137.392337963, A.D. 2026-Apr-06 21:24:58.0000,69.185632,-143883320.7085295,-40592089.44130318,-17615393.61524527,9.079756576497115,-26.90282743290772,-9.913501572851873,2026-04-06T21:23:48.814378
2461137.393032407, A.D. 2026-Apr-06 21:25:58.0000,69.185632,-143882777.8119017,-40593705.42847243,-17615988.6913886,9.016729778490026,-26.96322686698413,-9.923133030316935,2026-04-06T21:24:48.814335
2461137.393726852, A.D. 2026-Apr-06 21:26:58.0000,69.185632,-143882238.7049995,-40595325.01146901,-17616584.48516151,8.95346697850092,-27.02267324146032,-9.937424987339472,2026-04-06T21:25:48.814371
2461137.394421296, A.D. 2026-Apr-06 21:27:58.0000,69.185632,-143881703.3966798,-40596948.12786874,-17617181.27565104,8.890144203364962,-27.08099170272803,-9.956358626015337,2026-04-06T21:26:48.814368
2461137.395115741, A.D. 2026-Apr-06 21:28:58.0000,69.185632,-143881171.885227,-40598574.70466337,-17617779.34066341,8.826940093197571,-27.1380039676978,-9.979909274323013,2026-04-06T21:27:48.814404
